Employee_ID,Hire_Date,Last_Promotion_Date,Last_Login_Timestamp,Department,Job_Role,Job_Level,City,Education,Work_Mode,Marital_Status,Membership_Type,Age,Base_Salary,Performance_Rating,Training_Hours,Overtime_Hours,Projects_Count,Absenteeism_Days,Employee_Comment,Customer_Review,Notes_Raw_Data,Satisfaction_Score,Attrition_Flag
E100021,2018-07-09 22:15:40,2022-06-07 22:15:40,2025-10-01 09:57:04,Finance,Engineer,5,Pune,Bachelors,Hybrid,Married,Gold,38,1214105.0,2.9,37,8,5,13,"Work-life balance is okay, could improve.",Will definitely recommend to others.,??###MISSING###??,69.7,0
E100022,2016-09-25 01:58:16,2021-06-12 01:58:16,2025-12-03 17:04:08,HR,Manager,1,Hyderabad,Bachelors,Hybrid,Single,Gold,54,968497.0,2.1,77,50,1,8,"Training was helpful, want more advanced sessions.",Quality is okay… expected better 😐,??###MISSING###??_backup,63.7,0
E100023,2023-10-20 00:30:12,2025-12-01 00:00:00,2025-11-18 08:56:06,HR,Lead,3,Pune,Bachelors,Hybrid,Married,Diamond,38,843374.0,3.6,63,26,1,4,"Manager is supportive, but workload is high.",Loved the packaging and quick response time.,$$$ERROR_404!!!_v2,78.5,0
E100024,2022-06-03 11:25:20,2024-07-24 11:25:20,2025-11-18 17:02:20,Sales,Analyst,2,Mumbai,Diploma,Onsite,Married,Bronze,54,902781.0,1.8,70,20,4,12,Great team culture 😊,Quality is okay… expected better 😐,!!##DIV/0##!!_backup,75.0,0
E100025,2021-02-10 22:10:53,2025-01-15 22:10:53,2025-09-30 03:56:16,HR,Senior Engineer,1,Chennai,Masters,Hybrid,Single,Bronze,48,303490.0,2.5,7,56,3,12,"Manager is supportive, but workload is high.",Will definitely recommend to others.,@@NULL##DATA@@,12.7,0
E100026,2018-10-27 13:45:08,2019-10-20 13:45:08,2025-12-14 03:21:19,Marketing,Analyst,3,Pune,Masters,Hybrid,Married,Bronze,33,852359.0,2.8,38,31,6,8,Communication from leadership is excellent!,Worst experience ever!!! 😡😡,###REF!@#$$_v2,73.1,0
E100027,2022-10-24 08:05:40,2024-03-31 08:05:40,2025-10-18 13:13:34,Operations,Senior Engineer,5,Chennai,Bachelors,Remote,Single,Gold,52,711738.0,3.8,76,13,2,1,Need better tools and clearer priorities.,"Average experience, nothing special.",###@!@!@###,100.0,0
E100028,2020-03-06 13:09:23,2023-07-14 13:09:23,2025-10-26 19:09:46,Operations,Engineer,1,Mumbai,Bachelors,Hybrid,Married,Gold,37,1129518.0,4.1,65,48,3,6,Communication from leadership is excellent!,Support was polite and solved my issue quickly.,%%OK%%^&*()_v2,58.7,0
E100029,2019-03-18 18:15:02,2022-12-03 18:15:02,2025-11-18 20:24:46,HR,Senior Engineer,2,Bengaluru,Masters,Remote,Married,Gold,41,1148758.0,4.0,36,42,6,6,Promotion process feels slow…,"Delivery was late, but support helped.",~~CORRUPT~~@@@_backup,40.1,0
E100030,2019-04-12 04:38:58,2020-01-29 04:38:58,2025-11-09 07:11:21,Operations,Senior Engineer,1,Delhi,Bachelors,Hybrid,Single,Gold,25,1044170.0,3.1,5,11,3,2,Communication from leadership is excellent!,Fantastic! Five stars ⭐⭐⭐⭐⭐,~~CORRUPT~~@@@_backup,79.4,0
E100031,2017-02-27 01:31:59,2020-01-09 01:31:59,2025-09-19 02:09:47,Marketing,Engineer,1,Pune,PhD,Hybrid,Single,Diamond,29,998865.0,1.5,22,40,4,6,Great team culture 😊,Not satisfied. Product arrived damaged.,N/A###$$$_backup,52.6,0
E100032,2015-11-16 12:39:23,2017-12-22 12:39:23,2025-10-02 18:15:01,HR,Senior Engineer,2,Hyderabad,Masters,Onsite,Single,Silver,39,525663.0,3.5,45,37,2,2,Promotion process feels slow…,Worst experience ever!!! 😡😡,%%OK%%^&*()_TMP,71.9,0
E100033,2020-04-07 07:12:03,2023-02-04 07:12:03,2025-10-08 22:11:15,Operations,Lead,3,Delhi,Bachelors,Remote,Single,Bronze,30,1047661.0,4.2,51,16,1,10,Need better tools and clearer priorities.,Loved the packaging and quick response time.,%%OK%%^&*()_backup,86.7,0
E100034,2023-06-07 04:50:50,2025-12-01 00:00:00,2025-12-09 11:47:22,Finance,Lead,4,Delhi,Masters,Hybrid,Single,Silver,41,1057349.0,4.1,73,25,4,6,"Work-life balance is okay, could improve.","Delivery was late, but support helped.",@@NULL##DATA@@_final,93.7,0
E100035,2015-08-10 07:38:16,2016-03-05 07:38:16,2025-11-15 00:33:18,Operations,Analyst,4,Hyderabad,Diploma,Hybrid,Other,Gold,24,1211298.0,3.5,7,50,3,10,"Training was helpful, want more advanced sessions.",Amazing service! Fast delivery 😊,??###MISSING###??,37.9,1
E100036,2023-02-24 13:18:03,2025-12-01 00:00:00,2025-10-09 11:09:55,Finance,Senior Engineer,4,Delhi,Bachelors,Onsite,Single,Gold,30,1429552.0,2.4,31,10,9,6,Great team culture 😊,Will definitely recommend to others.,%%OK%%^&*(),73.4,0
E100037,2022-11-10 05:23:51,2025-05-30 05:23:51,2025-11-17 03:30:01,Operations,Director,4,Delhi,Masters,Hybrid,Married,Diamond,43,476860.0,2.8,21,43,9,10,Feeling stressed due to deadlines 😐,Support was polite and solved my issue quickly.,~~CORRUPT~~@@@_TMP,41.4,0
E100038,2017-08-17 19:15:46,2021-11-21 19:15:46,2025-11-17 13:02:49,IT,Manager,2,Chennai,PhD,Hybrid,Single,Gold,42,802881.0,4.6,76,49,4,10,Remote setup works well for me.,Worst experience ever!!! 😡😡,**##FAIL##**,71.3,0
E100039,2020-12-30 14:41:28,2023-06-01 14:41:28,2025-10-12 09:26:18,Finance,Engineer,5,Bengaluru,Bachelors,Hybrid,Other,Silver,54,714433.0,2.2,13,56,3,2,"Manager is supportive, but workload is high.",Worst experience ever!!! 😡😡,$$$ERROR_404!!!_final,51.4,0
E100040,2016-07-27 00:20:48,2018-05-21 00:20:48,2025-10-13 07:54:47,HR,Manager,1,Mumbai,Masters,Remote,Single,Gold,51,943127.0,2.4,17,19,4,6,"Manager is supportive, but workload is high.",Fantastic! Five stars ⭐⭐⭐⭐⭐,###@!@!@###,62.7,0
E100041,2022-03-14 01:09:31,2025-12-01 00:00:00,2025-12-03 21:37:12,HR,Analyst,4,Mumbai,Bachelors,Hybrid,Single,Silver,48,903350.0,3.9,23,15,6,11,Remote setup works well for me.,Fantastic! Five stars ⭐⭐⭐⭐⭐,###@!@!@###_X,79.0,0
E100042,2021-08-26 09:55:39,2025-06-20 09:55:39,2025-10-29 23:47:01,HR,Analyst,1,Mumbai,Masters,Hybrid,Married,Silver,22,841479.0,2.9,8,56,4,8,Feeling stressed due to deadlines 😐,Will definitely recommend to others.,**##FAIL##**_TMP,36.1,0
E100043,2018-05-14 11:54:19,2019-04-18 11:54:19,2025-09-16 16:46:45,Finance,Manager,4,Mumbai,Masters,Hybrid,Single,Gold,41,1156901.0,2.4,51,27,7,3,Remote setup works well for me.,Amazing service! Fast delivery 😊,??###MISSING###??_backup,78.1,1
E100044,2015-08-24 13:07:03,2019-07-22 13:07:03,2025-11-15 13:51:07,IT,Manager,1,Mumbai,Masters,Remote,Married,Diamond,29,624646.0,4.3,41,34,9,12,Communication from leadership is excellent!,Not satisfied. Product arrived damaged.,%%OK%%^&*(),80.3,0
E100045,2024-03-20 09:08:16,2025-12-01 00:00:00,2025-11-01 21:42:41,Operations,Lead,2,Mumbai,Bachelors,Remote,Single,Diamond,30,639720.0,3.5,44,30,4,2,Communication from leadership is excellent!,Support was polite and solved my issue quickly.,~~CORRUPT~~@@@_X,87.9,0
E100046,2019-03-26 15:27:39,2021-06-15 15:27:39,2025-10-24 10:30:50,Sales,Senior Engineer,2,Chennai,Masters,Hybrid,Married,Gold,28,643944.0,2.9,72,30,2,14,Great team culture 😊,Fantastic! Five stars ⭐⭐⭐⭐⭐,**##FAIL##**_TMP,83.1,0
E100047,2023-06-25 08:15:25,2025-12-01 00:00:00,2025-11-16 03:15:45,Operations,Director,4,Mumbai,Bachelors,Remote,Married,Silver,37,809918.0,2.4,34,37,2,10,"Training was helpful, want more advanced sessions.",Fantastic! Five stars ⭐⭐⭐⭐⭐,!!##DIV/0##!!,46.5,0
E100048,2021-06-09 00:33:18,2025-01-02 00:33:18,2025-12-05 05:51:27,Operations,Senior Engineer,1,Hyderabad,Bachelors,Hybrid,Married,Silver,26,592852.0,4.6,24,25,8,4,Promotion process feels slow…,Not satisfied. Product arrived damaged.,###REF!@#$$_v2,88.6,0
E100049,2022-05-23 10:24:54,2024-04-29 10:24:54,2025-10-05 16:41:56,IT,Lead,2,Hyderabad,Bachelors,Remote,Single,Bronze,39,887857.0,3.2,30,23,4,2,"I enjoy the work, but salary expectations are higher.","Delivery was late, but support helped.",$$$ERROR_404!!!_X,72.4,1
E100050,2022-03-20 07:57:01,2022-06-08 07:57:01,2025-10-15 00:38:18,IT,Analyst,2,Delhi,Masters,Remote,Single,Silver,27,858627.0,4.2,64,24,3,13,"Manager is supportive, but workload is high.",Quality is okay… expected better 😐,~~CORRUPT~~@@@,74.0,0
E100051,2016-11-06 00:10:08,2020-08-06 00:10:08,2025-09-20 21:31:39,Finance,Analyst,4,Delhi,Bachelors,Hybrid,Single,Gold,38,703371.0,3.8,42,39,6,7,"Manager is supportive, but workload is high.",Support was polite and solved my issue quickly.,**##FAIL##**_backup,45.2,0
E100052,2018-06-16 00:37:36,2019-09-24 00:37:36,2025-11-07 22:37:15,Finance,Lead,5,Mumbai,Bachelors,Onsite,Single,Gold,42,1118442.0,2.8,13,49,9,12,"Training was helpful, want more advanced sessions.",Not satisfied. Product arrived damaged.,###REF!@#$$_final,37.5,0
E100053,2019-06-07 14:07:21,2023-08-12 14:07:21,2025-10-13 06:50:20,HR,Director,4,Bengaluru,Masters,Hybrid,Single,Gold,27,885125.0,2.8,55,33,4,12,Remote setup works well for me.,Will definitely recommend to others.,$$$ERROR_404!!!_backup,54.2,1
E100054,2019-09-23 08:11:08,2022-09-05 08:11:08,2025-10-06 22:45:11,Operations,Director,3,Chennai,Bachelors,Onsite,Married,Gold,25,1165662.0,4.2,59,40,3,1,Remote setup works well for me.,Will definitely recommend to others.,%%OK%%^&*(),80.3,1
E100055,2015-06-01 21:52:30,2018-01-21 21:52:30,2025-11-13 03:14:19,Sales,Engineer,2,Hyderabad,Bachelors,Hybrid,Married,Bronze,48,851238.0,4.2,19,24,8,10,"Training was helpful, want more advanced sessions.",Support was polite and solved my issue quickly.,~~CORRUPT~~@@@,52.1,1
E100056,2020-03-10 12:04:22,2021-03-22 12:04:22,2025-10-13 20:33:17,Operations,Analyst,5,Pune,Bachelors,Hybrid,Married,Gold,46,893951.0,1.9,44,46,1,5,"Work-life balance is okay, could improve.",Will definitely recommend to others.,**##FAIL##**_X,69.5,0
E100057,2016-06-19 01:49:22,2020-05-29 01:49:22,2025-10-19 18:12:25,IT,Director,1,Bengaluru,Bachelors,Hybrid,Single,Gold,30,759304.0,3.6,45,23,8,13,Need better tools and clearer priorities.,"Delivery was late, but support helped.",~~CORRUPT~~@@@_TMP,71.5,0
E100058,2022-01-22 00:39:48,2023-02-07 00:39:48,2025-10-17 04:55:34,Operations,Manager,1,Hyderabad,Masters,Remote,Single,Gold,51,898238.0,3.1,14,25,5,3,Remote setup works well for me.,Fantastic! Five stars ⭐⭐⭐⭐⭐,###@!@!@###_TMP,82.0,0
E100059,2021-06-26 19:31:49,2023-11-13 19:31:49,2025-09-28 03:30:58,HR,Engineer,2,Chennai,Bachelors,Onsite,Married,Gold,29,1078058.0,2.5,0,3,1,0,Great team culture 😊,Worst experience ever!!! 😡😡,**##FAIL##**,67.2,0
E100060,2023-10-05 07:50:13,2025-12-01 00:00:00,2025-09-14 05:02:01,Finance,Lead,2,Mumbai,Bachelors,Hybrid,Single,Bronze,52,797166.0,3.4,57,15,3,9,Great team culture 😊,Quality is okay… expected better 😐,###@!@!@###_v2,94.1,0
E100061,2022-01-26 20:02:37,2025-12-01 00:00:00,2025-11-26 20:37:44,Finance,Director,3,Bengaluru,Diploma,Hybrid,Single,Diamond,25,1029603.0,2.3,49,44,7,8,"Training was helpful, want more advanced sessions.",Amazing service! Fast delivery 😊,$$$ERROR_404!!!_final,41.7,1
E100062,2018-06-25 12:24:05,2023-11-24 12:24:05,2025-09-10 15:08:37,Operations,Engineer,5,Mumbai,Masters,Hybrid,Married,Diamond,43,696813.0,2.9,57,5,7,8,Promotion process feels slow…,Will definitely recommend to others.,%%OK%%^&*(),90.1,0
E100063,2024-03-09 07:46:12,2025-12-01 00:00:00,2025-10-05 02:41:40,HR,Lead,4,Hyderabad,Masters,Onsite,Married,Gold,22,1089763.0,2.6,30,13,2,3,"Work-life balance is okay, could improve.",Fantastic! Five stars ⭐⭐⭐⭐⭐,###REF!@#$$_backup,72.0,0
E100064,2018-11-25 19:53:47,2022-01-06 19:53:47,2025-11-10 02:04:28,HR,Lead,2,Pune,Masters,Onsite,Other,Silver,28,755024.0,2.9,41,46,6,7,Remote setup works well for me.,"Delivery was late, but support helped.",###REF!@#$$_backup,50.9,0
E100065,2018-02-03 23:05:46,2019-04-27 23:05:46,2025-09-14 18:51:47,Finance,Manager,2,Mumbai,PhD,Hybrid,Single,Silver,35,1112920.0,3.1,78,52,9,14,Need better tools and clearer priorities.,Quality is okay… expected better 😐,###REF!@#$$_X,53.2,0
E100066,2023-08-07 09:33:10,2025-12-01 00:00:00,2025-11-08 19:54:16,Finance,Manager,4,Pune,Bachelors,Hybrid,Married,Silver,24,915244.0,2.5,18,24,7,11,"I enjoy the work, but salary expectations are higher.","Delivery was late, but support helped.",$$$ERROR_404!!!_TMP,47.4,0
E100067,2018-07-08 18:06:08,2022-12-09 18:06:08,2025-11-16 23:19:34,HR,Engineer,2,Chennai,Masters,Hybrid,Single,Gold,37,1280238.0,4.3,52,24,7,14,Need better tools and clearer priorities.,Amazing service! Fast delivery 😊,###@!@!@###_X,60.0,1
E100068,2015-09-22 18:11:45,2021-02-23 18:11:45,2025-11-09 14:31:56,HR,Director,5,Bengaluru,Masters,Onsite,Single,Diamond,29,611483.0,3.5,10,30,2,4,Promotion process feels slow…,Not satisfied. Product arrived damaged.,!!##DIV/0##!!,55.2,0
E100069,2019-06-17 10:04:09,2023-01-29 10:04:09,2025-10-03 00:40:56,HR,Director,3,Hyderabad,Bachelors,Hybrid,Married,Bronze,25,530956.0,4.5,5,46,6,13,"Manager is supportive, but workload is high.",Quality is okay… expected better 😐,N/A###$$$_TMP,38.6,0
E100070,2022-07-22 10:02:08,2023-06-21 10:02:08,2025-09-03 01:48:41,Finance,Director,3,Mumbai,Bachelors,Hybrid,Single,Gold,53,745946.0,3.1,76,28,7,5,Feeling stressed due to deadlines 😐,Support was polite and solved my issue quickly.,!!##DIV/0##!!_backup,93.4,0
E100071,2016-10-19 02:04:48,2019-08-20 02:04:48,2025-12-03 04:07:39,Finance,Lead,5,Delhi,Bachelors,Hybrid,Married,Diamond,54,553847.0,2.8,10,10,1,14,"I enjoy the work, but salary expectations are higher.",Will definitely recommend to others.,??###MISSING###??_v2,61.0,0
E100072,2019-05-25 11:28:10,2021-12-09 11:28:10,2025-10-05 06:53:52,Finance,Analyst,2,Pune,Masters,Hybrid,Single,Silver,53,554316.0,4.4,52,25,3,12,"I enjoy the work, but salary expectations are higher.",Not satisfied. Product arrived damaged.,$$$ERROR_404!!!_TMP,81.4,0
E100073,2016-03-26 13:37:36,2020-11-15 13:37:36,2025-11-24 12:36:56,Operations,Senior Engineer,3,Hyderabad,Masters,Hybrid,Single,Diamond,27,1055388.0,2.8,41,15,8,2,Great team culture 😊,Amazing service! Fast delivery 😊,!!##DIV/0##!!,70.1,0
E100074,2019-07-08 17:52:20,2021-10-06 17:52:20,2025-09-21 18:28:50,HR,Senior Engineer,3,Delhi,Masters,Hybrid,Married,Diamond,34,898955.0,3.1,64,41,9,14,Communication from leadership is excellent!,Worst experience ever!!! 😡😡,**##FAIL##**_final,55.9,0
E100075,2018-02-19 02:54:04,2020-01-17 02:54:04,2025-09-18 01:16:27,Marketing,Director,2,Pune,Bachelors,Remote,Single,Silver,32,780080.0,3.7,43,8,2,9,Great team culture 😊,Will definitely recommend to others.,N/A###$$$_final,87.6,0
E100076,2017-02-25 22:07:08,2017-09-28 22:07:08,2025-11-21 16:56:29,Operations,Manager,1,Bengaluru,Bachelors,Hybrid,Married,Gold,32,803259.0,2.3,55,36,7,11,Feeling stressed due to deadlines 😐,Amazing service! Fast delivery 😊,N/A###$$$_backup,63.2,1
E100077,2020-05-11 16:27:18,2024-12-16 16:27:18,2025-12-08 16:07:28,HR,Manager,2,Mumbai,Bachelors,Hybrid,Single,Gold,35,750691.0,3.7,71,7,5,8,Communication from leadership is excellent!,Will definitely recommend to others.,$$$ERROR_404!!!_final,88.1,0
E100078,2021-05-11 21:57:30,2025-07-14 21:57:30,2025-11-30 08:47:18,HR,Analyst,1,Bengaluru,Bachelors,Onsite,Married,Gold,38,1312592.0,3.6,66,58,6,3,Great team culture 😊,Will definitely recommend to others.,??###MISSING###??_final,70.5,0
E100079,2023-12-05 23:33:25,2024-04-22 23:33:25,2025-11-18 21:08:25,HR,Lead,4,Delhi,PhD,Onsite,Single,Silver,38,716124.0,4.1,57,38,5,14,Great team culture 😊,Will definitely recommend to others.,??###MISSING###??,57.4,1
E100080,2019-02-25 01:01:42,2021-08-14 01:01:42,2025-09-26 21:38:04,HR,Senior Engineer,1,Bengaluru,Masters,Onsite,Single,Diamond,31,569467.0,3.8,12,8,8,1,"Manager is supportive, but workload is high.",Loved the packaging and quick response time.,!!##DIV/0##!!_final,73.2,0
E100081,2016-07-11 06:23:49,2019-03-28 06:23:49,2025-12-05 21:17:25,Finance,Analyst,2,Mumbai,PhD,Hybrid,Married,Gold,54,1099013.0,4.1,13,57,5,12,Communication from leadership is excellent!,Support was polite and solved my issue quickly.,$$$ERROR_404!!!_X,37.1,1
E100082,2022-11-27 17:28:17,2025-07-24 17:28:17,2025-11-10 02:58:47,IT,Director,5,Mumbai,Masters,Remote,Single,Silver,54,846061.0,3.1,39,34,6,3,Feeling stressed due to deadlines 😐,Support was polite and solved my issue quickly.,??###MISSING###??_TMP,67.5,1
E100083,2020-12-24 00:32:32,2025-12-01 00:00:00,2025-09-19 01:51:16,IT,Engineer,3,Bengaluru,Diploma,Onsite,Single,Silver,32,1409693.0,2.6,52,36,7,11,Great team culture 😊,Amazing service! Fast delivery 😊,~~CORRUPT~~@@@,56.0,0
E100084,2021-08-25 12:27:53,2022-08-12 12:27:53,2025-09-14 13:59:39,Finance,Analyst,4,Pune,Bachelors,Onsite,Other,Bronze,29,768449.0,4.7,53,3,5,6,"Training was helpful, want more advanced sessions.",Not satisfied. Product arrived damaged.,**##FAIL##**_backup,91.5,0
E100085,2015-12-04 04:22:02,2017-09-18 04:22:02,2025-12-01 11:19:39,Operations,Analyst,4,Hyderabad,Bachelors,Hybrid,Married,Gold,39,1111496.0,2.1,62,11,8,3,Communication from leadership is excellent!,Fantastic! Five stars ⭐⭐⭐⭐⭐,!!##DIV/0##!!,81.2,0
E100086,2017-12-19 06:54:01,2019-02-02 06:54:01,2025-09-29 21:23:03,HR,Senior Engineer,2,Mumbai,Bachelors,Hybrid,Married,Diamond,34,1170549.0,2.2,8,48,3,3,Need better tools and clearer priorities.,"Average experience, nothing special.",$$$ERROR_404!!!_X,39.4,0
E100087,2022-04-16 21:11:04,2023-10-01 21:11:04,2025-11-20 10:02:55,Marketing,Analyst,4,Chennai,Bachelors,Hybrid,Married,Silver,54,769666.0,3.6,13,28,9,4,Feeling stressed due to deadlines 😐,Worst experience ever!!! 😡😡,N/A###$$$,70.4,0
E100088,2022-11-26 06:38:51,2025-12-01 00:00:00,2025-09-15 13:24:33,Finance,Director,2,Delhi,Bachelors,Hybrid,Married,Silver,36,714270.0,4.3,11,36,7,13,Need better tools and clearer priorities.,Support was polite and solved my issue quickly.,$$$ERROR_404!!!_TMP,48.5,1
E100089,2019-02-18 07:57:13,2024-04-17 07:57:13,2025-09-30 10:57:29,Marketing,Manager,4,Bengaluru,Bachelors,Remote,Married,Gold,23,1085342.0,3.3,43,59,9,11,Need better tools and clearer priorities.,"Average experience, nothing special.",@@NULL##DATA@@,50.3,0
E100090,2022-08-22 22:08:49,2023-01-15 22:08:49,2025-09-30 18:28:20,HR,Engineer,4,Bengaluru,Diploma,Hybrid,Married,Silver,26,1043723.0,3.9,50,25,4,10,Promotion process feels slow…,Worst experience ever!!! 😡😡,@@NULL##DATA@@_v2,76.3,0
E100091,2022-12-28 23:41:51,2025-12-01 00:00:00,2025-09-30 12:22:57,Sales,Analyst,5,Mumbai,Bachelors,Hybrid,Single,Gold,24,547347.0,1.8,9,22,5,9,Promotion process feels slow…,"Average experience, nothing special.",###@!@!@###,47.9,0
E100092,2018-09-05 18:36:01,2020-01-29 18:36:01,2025-11-10 20:20:09,Operations,Senior Engineer,5,Chennai,Diploma,Hybrid,Single,Silver,34,617891.0,2.9,69,48,1,6,"Work-life balance is okay, could improve.",Not satisfied. Product arrived damaged.,~~CORRUPT~~@@@_final,52.3,0
E100093,2023-07-12 13:37:45,2024-09-17 13:37:45,2025-12-06 00:15:36,IT,Analyst,1,Delhi,Masters,Hybrid,Married,Silver,32,300000.0,1.9,24,3,9,13,Need better tools and clearer priorities.,Support was polite and solved my issue quickly.,###REF!@#$$_final,60.2,0
